userId,teamId,simulationId,type,text,timestamp
     user123,teamA,sim2025,chat,¡Gran trabajo en el proyecto! 😊🥳,2025-05-01 09:00:00
     user456,teamB,sim2025,feedback,Need to fix bugs ASAP @devteam https://example.com,2025-05-01 09:30:00
     user789,teamC,sim2025,reunion,Propongo optimizar el código 🚀,2025-05-01 10:00:00
     user234,teamB,sim2025,chat,¡La reunión fue un éxito! 🎉,2025-05-01 10:30:00
     user567,teamA,sim2025,feedback,The new feature looks great but needs testing @qa_team,2025-05-01 11:00:00
     user890,teamC,sim2025,reunion,Necesitamos un nuevo plan para el backend 😓,2025-05-01 11:30:00
     user123,teamA,sim2025,chat,¿Alguien sabe cómo configurar la API? 🤔,2025-05-01 12:00:00
     user456,teamB,sim2025,feedback,El frontend está lento hay que optimizarlo 🐢,2025-05-01 12:30:00
     user789,teamC,sim2025,reunion,Let’s deploy the update tomorrow @ops_team,2025-05-01 13:00:00
     user234,teamB,sim2025,chat,¡Felicidades por el release! 🎊,2025-05-01 13:30:00
     user567,teamA,sim2025,feedback,Los tests unitarios fallan en el módulo de login 😕,2025-05-01 14:00:00
     user890,teamC,sim2025,chat,¿Podemos usar una nueva librería para el frontend? 🚀,2025-05-01 14:30:00
     user123,teamA,sim2025,reunion,Revisemos el roadmap del proyecto 📅,2025-05-01 15:00:00
     user456,teamB,sim2025,feedback,The API response time is too high @backend_team,2025-05-01 15:30:00
     user789,teamC,sim2025,chat,¡Gran trabajo en el sprint! 👏,2025-05-01 16:00:00
     user234,teamB,sim2025,reunion,Propongo automatizar los tests 🔧,2025-05-01 16:30:00
     user567,teamA,sim2025,feedback,Need to debug the payment gateway ASAP,2025-05-01 17:00:00
     user890,teamC,sim2025,chat,¿Alguien probó la nueva versión del servidor? 🤖,2025-05-01 17:30:00
     user123,teamA,sim2025,feedback,El diseño de la UI necesita mejoras @design_team 😑,2025-05-01 18:00:00
     user456,teamB,sim2025,reunion,Planifiquemos el próximo sprint 📋,2025-05-01 18:30:00
     user789,teamC,sim2025,chat,¡El nuevo logo quedó increíble! 😍,2025-05-02 09:00:00
     user234,teamB,sim2025,feedback,The database queries are too slow @db_team,2025-05-02 09:30:00
     user567,teamA,sim2025,reunion,Necesitamos más recursos para el proyecto 💻,2025-05-02 10:00:00
     user890,teamC,sim2025,chat,¿Qué opinan del nuevo framework? 🛠️,2025-05-02 10:30:00
     user123,teamA,sim2025,feedback,Let’s improve the error handling @dev_team,2025-05-02 11:00:00
     user456,teamB,sim2025,reunion,Revisemos los bugs reportados 🐞,2025-05-02 11:30:00
     user789,teamC,sim2025,chat,¡Buen trabajo en la documentación! 📚,2025-05-02 12:00:00
     user234,teamB,sim2025,feedback,The app crashes on mobile devices @mobile_team 😣,2025-05-02 12:30:00
     user567,teamA,sim2025,reunion,Propongo un code review semanal 📝,2025-05-02 13:00:00
     user890,teamC,sim2025,chat,¿Alguien configuró CI/CD? 🔄,2025-05-02 13:30:00
     user123,teamA,sim2025,feedback,Need to optimize the search feature ASAP,2025-05-02 14:00:00
     user456,teamB,sim2025,chat,¡El equipo está haciendo un gran trabajo! 🌟,2025-05-02 14:30:00
     user789,teamC,sim2025,reunion,Discutamos la arquitectura del sistema 🏗️,2025-05-02 15:00:00
     user234,teamB,sim2025,feedback,The login page needs better UX @ux_team 😐,2025-05-02 15:30:00
     user567,teamA,sim2025,chat,¿Podemos acelerar el deploy? ⏩,2025-05-02 16:00:00
     user890,teamC,sim2025,reunion,Revisemos el rendimiento del servidor 📊,2025-05-02 16:30:00
     user123,teamA,sim2025,feedback,Let’s add more unit tests @qa_team,2025-05-02 17:00:00
     user456,teamB,sim2025,chat,¡Felicidades por el nuevo feature! 🎈,2025-05-02 17:30:00
     user789,teamC,sim2025,reunion,Propongo migrar a una nueva base de datos 🗄️,2025-05-02 18:00:00
     user234,teamB,sim2025,feedback,The API documentation is incomplete @docs_team 📜,2025-05-02 18:30:00
     user567,teamA,sim2025,chat,¿Alguien probó el nuevo endpoint? 🔗,2025-05-03 09:00:00
     user890,teamC,sim2025,reunion,Planifiquemos el próximo release 📦,2025-05-03 09:30:00
     user123,teamA,sim2025,feedback,Need to fix the caching issue ASAP,2025-05-03 10:00:00
     user456,teamB,sim2025,chat,¡El sprint fue un éxito! 🏆,2025-05-03 10:30:00
     user789,teamC,sim2025,reunion,Discutamos el feedback de los usuarios 🗣️,2025-05-03 11:00:00
     user234,teamB,sim2025,feedback,The app needs better accessibility @a11y_team ♿,2025-05-03 11:30:00
     user567,teamA,sim2025,chat,¿Podemos mejorar el tiempo de carga? ⚡,2025-05-03 12:00:00
     user890,teamC,sim2025,reunion,Revisemos las métricas del proyecto 📈,2025-05-03 12:30:00
